Subject,Block,CategoryNumber,ITI,Trial,CorrAns,ACC,RESP,RT,Typicality,Familiarity,Item,Category,Prime,cond_TrueFalse,TF,MoCA_dev,old_group,all_groups,group,Typi,Typi_cen,Fam_tipi_cen,Fam_tipi,CD_Log_cen,CD_Log,AoA_cen,AoA,Imag_cen,Imag,Idade,escolaridade,Vocabulary,CCT,Sex
11,3,2,1500,52,1,1,1,3226,4.666666667,5.689655172,Potato,Vegetable,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,4.666666667,-0.48642878,1.432398576,5.69,0.429798106,2.658964843,-1.109362343,1.87,-0.51594561,5.557,66,17,14,0.84,female
11,3,3,3000,53,2,1,2,1424,3.173913043,3.517241379,Cloak,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,3.173913043,-1.589155475,-0.443546926,3.52,0.021253266,2.250420002,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,3,2,3000,54,1,1,1,1334,6.75,2.75862069,Falcon,Birds,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,6.75,1.052570855,-1.100560098,2.76,0.028511839,2.257678575,1.350611207,4.36,-0.604794126,5.516,66,17,14,0.84,female
11,3,1,2500,55,2,1,2,1305,6.625,4.275862069,Lion,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,6.625,0.960230877,0.213466245,4.28,0.433591096,2.662757832,-1.109362343,1.87,-0.394591539,5.613,66,17,14,0.84,female
11,3,3,2500,56,1,1,1,1414,4.375,4.103448276,Chickpeas,Vegetable,VESTUÁRIO,FALSE,0.5,0,healthy,-0.5,Old,4.375,-0.701888729,0.057857862,4.1,0.084700484,2.31386722,-0.081903511,2.91,-0.097707473,5.75,66,17,14,0.84,female
11,3,2,2000,58,2,1,2,1286,6.791666667,3.965517241,Plum,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,6.791666667,1.083350848,-0.05452597,3.97,-0.315352884,1.913813852,-0.18069763,2.81,0.840619541,6.183,66,17,14,0.84,female
11,3,2,1500,59,2,1,2,2066,2.625,4.620689655,Olive,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,2.625,-1.994648422,0.50739319,4.62,-0.443836901,1.785329835,0.007011196,3,1.527570265,6.5,66,17,14,0.84,female
11,3,4,1500,61,2,1,2,1523,6.708333333,6.206896552,Bus,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,6.708333333,1.021790862,1.881933903,6.21,0.782826378,3.011993115,0.13544355,3.13,1.341205084,6.414,66,17,14,0.84,female
11,3,3,3000,62,1,1,1,1137,6.708333333,3.965517241,Seagull,Birds,VESTUÁRIO,FALSE,0.5,0,healthy,-0.5,Old,6.708333333,1.021790862,-0.05452597,3.97,-0.504890867,1.72427587,-0.081903511,2.91,0.515563994,6.033,66,17,14,0.84,female
11,3,3,2500,63,2,1,2,1032,6.75,5.310344828,Skirt,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,6.75,1.052570855,1.10389199,5.31,1.291709646,3.520876382,-0.980929989,2,0.623915843,6.083,66,17,14,0.84,female
